ano,id_municipio,sigla_uf,indice_atendimento_urbano_agua,indice_coleta_esgoto,indice_tratamento_esgoto,indice_perda_distribuicao_agua,extensao_rede_agua
2016,3508603,SP,100.0,84.25,100.0,28.0,124.16
2016,3511409,SP,99.0,100.0,87.5,3.73,70.0
2016,3522307,SP,100.0,86.14,100.0,40.58,500.07
2016,3524600,SP,100.0,87.43,93.31,25.1,49.58
2016,3537156,SP,100.0,100.0,100.0,12.19,16.36
2016,3538105,SP,100.0,78.85,100.0,45.0,61.0
2016,3538600,SP,66.6,56.33,100.0,29.47,144.16
2016,3539301,SP,100.0,79.98,98.98,45.23,510.0
2016,3543105,SP,94.4,99.13,100.0,23.15,15.74
2016,3543501,SP,100.0,100.0,100.0,40.82,38.87
2016,3544400,SP,100.0,100.0,100.0,12.63,19.09
2016,1200401,AC,59.5,34.25,100.0,58.19,1139.44
2016,2911709,BA,100.0,49.81,100.0,24.24,671.4
2016,2924801,BA,96.7,42.24,0.0,21.12,135.71
2016,2300507,CE,75.5,38.86,100.0,22.38,16.57
2016,2302305,CE,66.4,48.07,100.0,42.91,55.42
2016,2309102,CE,75.1,18.14,100.0,15.02,14.87
2016,3203130,ES,100.0,91.0,0.0,45.3,81.08
2016,5213053,GO,99.9,82.67,99.98,41.96,8.82
2016,5216403,GO,100.0,85.0,100.0,5.65,66.32
2016,3103207,MG,97.3,24.06,0.0,21.42,12.61
2016,3112505,MG,98.4,13.95,60.1,35.5,68.74
2016,3115409,MG,100.0,69.23,0.0,9.83,15.0
2016,3122306,MG,97.7,69.08,2.89,31.01,1018.15
2016,3123908,MG,99.6,74.01,0.0,25.75,52.95
2016,3127388,MG,90.3,100.0,0.0,44.71,15.5
2016,3128709,MG,92.5,75.4,0.0,29.89,216.52
2016,3138674,MG,100.0,97.41,0.0,0.0,11.0
2016,3140506,MG,93.6,38.77,0.0,32.41,88.4
2016,3147204,MG,99.9,76.81,100.0,18.38,81.1
2016,3148608,MG,88.3,100.0,0.0,48.01,35.63
2016,3164506,MG,75.8,61.62,0.0,21.31,12.89
2016,3165107,MG,93.8,100.0,0.0,26.26,26.89
2016,5104104,MT,100.0,17.62,100.0,25.18,117.06
2016,2513406,PB,97.9,100.0,72.22,28.75,17.75
2016,2603504,PE,86.7,52.74,0.0,26.96,41.51
2016,4104253,PR,100.0,31.69,100.0,42.41,125.66
2016,4109609,PR,100.0,80.85,100.0,37.25,350.54
2016,4120408,PR,100.0,42.3,100.0,13.11,25.26
2016,4126801,PR,100.0,84.01,100.0,2.0,96.87
2016,4128401,PR,100.0,81.28,100.0,39.25,67.16
2016,3303005,RJ,98.1,100.0,0.0,42.89,77.76
2016,3304904,RJ,84.1,62.67,20.87,29.78,1677.24
2016,3306206,RJ,97.0,25.72,18.39,28.51,158.76
2016,4303707,RS,100.0,100.0,100.0,2.54,15.49
2016,4306908,RS,100.0,1.91,0.0,21.7,89.96
2016,4322707,RS,100.0,37.21,10.09,39.37,260.0
2016,4214300,SC,100.0,60.12,100.0,23.94,22.31
2016,3505351,SP,100.0,60.79,49.9,29.83,30.84
2016,3516002,SP,91.9,100.0,100.0,27.31,60.22
2016,3517406,SP,100.0,80.0,100.0,26.69,295.0
2016,3520442,SP,100.0,76.52,100.0,33.33,182.1
2016,3523008,SP,97.3,75.0,100.0,45.21,13.0
2016,3525706,SP,100.0,79.07,100.0,57.49,229.0
2016,3542503,SP,100.0,80.0,94.44,19.64,60.0
2016,3547601,SP,100.0,98.32,100.0,25.07,99.65
2016,3550001,SP,94.7,86.73,100.0,30.0,31.86
2016,3551108,SP,100.0,57.97,0.0,18.11,84.6
2016,3551405,SP,82.0,91.37,100.0,31.13,28.86
2016,1718204,TO,99.7,80.0,79.49,50.16,580.0
2016,2908507,BA,59.2,11.39,100.0,33.62,46.22
2016,2913200,BA,100.0,78.54,100.0,30.99,110.77
2016,2918001,BA,100.0,93.77,100.0,28.23,489.18
2016,2933208,BA,100.0,16.18,100.0,56.62,290.98
2016,2305506,CE,94.7,23.6,100.0,38.83,386.52
2016,2313302,CE,85.5,9.54,100.0,34.27,90.4
2016,5203302,GO,99.4,53.11,100.0,29.62,130.27
2016,5204508,GO,87.2,68.14,100.0,20.01,202.0
2016,5211503,GO,100.0,100.0,95.39,43.38,594.37
2016,3100104,MG,92.6,100.0,0.0,21.51,33.33
2016,3100609,MG,70.0,100.0,0.0,32.21,17.53
2016,3108107,MG,91.1,58.18,0.0,22.4,36.74
2016,3121258,MG,99.9,92.78,0.0,0.92,26.88
2016,3127370,MG,96.9,90.52,100.0,0.0,16.0
2016,3132206,MG,94.5,64.78,49.7,0.0,66.13
2016,3145000,MG,100.0,81.38,100.0,16.67,117.65
2016,3162203,MG,99.7,77.4,100.0,26.98,41.65
2016,3166600,MG,98.5,67.07,0.0,22.63,2.61
2016,3171808,MG,100.0,70.5,0.0,18.48,22.57
2016,5003702,MS,99.0,55.73,100.0,51.25,1194.65
2016,2600054,PE,92.3,36.39,100.0,63.4,215.39
2016,2609808,PE,100.0,100.0,50.0,59.27,14.1
2016,2611606,PE,83.8,73.97,99.7,61.16,3363.01
2016,2611903,PE,81.5,34.59,100.0,68.5,32.35
2016,2613503,PE,100.0,92.05,0.0,36.7,65.91
2016,2209971,PI,100.0,32.89,0.0,0.0,74.0
2016,4107306,PR,100.0,32.42,100.0,27.2,65.03
2016,4111902,PR,100.0,80.1,41.02,5.04,62.25
2016,4112108,PR,100.0,50.27,100.0,29.07,134.42
2016,4116208,PR,100.0,59.88,100.0,44.35,118.88
2016,4117701,PR,100.0,84.81,100.0,37.1,162.73
2016,4118006,PR,100.0,42.46,100.0,17.43,99.49
2016,4121901,PR,100.0,60.22,100.0,25.16,79.28
2016,4128534,PR,100.0,19.68,100.0,19.87,46.65
2016,3303302,RJ,100.0,100.0,100.0,33.1,1308.6
2016,4309308,RS,100.0,3.06,100.0,44.94,589.98
2016,4316204,RS,100.0,14.92,100.0,31.4,15.53
2016,4207304,SC,100.0,4.9,100.0,52.97,325.63
2016,3500402,SP,100.0,94.4,96.09,28.29,59.81
2016,3501004,SP,99.9,76.47,100.0,34.62,125.0
2016,3504305,SP,91.6,98.5,100.0,16.64,19.68
2016,3505609,SP,100.0,79.51,0.0,19.6,76.8
2016,3517802,SP,99.3,80.0,75.0,19.86,41.0
2016,3523800,SP,95.9,93.86,100.0,14.45,21.84
2016,3530706,SP,100.0,80.0,75.0,44.59,602.2
2016,3540002,SP,100.0,80.0,100.0,28.73,75.0
2016,3554805,SP,100.0,74.48,100.0,35.37,156.85
2016,2905404,BA,90.6,32.94,100.0,21.06,43.95
2016,2919306,BA,97.3,63.16,100.0,15.88,19.77
2016,2932507,BA,99.1,13.6,100.0,28.36,70.5
2016,2300200,CE,66.1,11.94,100.0,13.77,98.89
2016,2300309,CE,69.9,17.65,100.0,28.09,46.49
2016,2303709,CE,75.6,35.52,100.0,48.69,619.84
2016,3203007,ES,85.0,84.68,0.0,32.44,66.74
2016,3205309,ES,94.7,66.68,100.0,33.21,850.89
2016,3106507,MG,95.6,68.94,100.0,0.0,29.3
2016,3117801,MG,100.0,100.0,0.0,27.1,78.7
2016,3118601,MG,89.2,71.03,90.95,47.37,1966.34
2016,3122504,MG,87.4,100.0,0.0,31.52,19.58
2016,3123528,MG,68.2,100.0,0.0,22.46,7.61
2016,3127404,MG,100.0,48.61,100.0,20.28,33.63
2016,3135050,MG,92.9,20.65,100.0,14.08,84.96
2016,3146750,MG,100.0,100.0,0.0,19.27,16.78
2016,3147907,MG,99.9,80.0,68.75,30.75,487.34
2016,3148400,MG,100.0,100.0,0.0,17.71,10.35
2016,3159605,MG,95.9,74.05,87.38,34.46,82.53
2016,3162401,MG,71.7,14.36,100.0,19.79,40.26
2016,5006606,MS,99.0,39.89,100.0,48.71,369.07
2016,5100250,MT,100.0,52.79,100.0,32.1,203.73
2016,2513307,PB,99.8,100.0,0.0,48.64,11.69
2016,2607406,PE,100.0,100.0,60.54,30.69,16.6
2016,2613008,PE,89.2,79.76,0.0,28.87,86.35
2016,2208007,PI,98.1,38.24,100.0,39.48,118.64
2016,2211001,PI,99.5,14.63,100.0,47.54,1619.1
2016,4100608,PR,100.0,60.96,100.0,22.9,109.77
2016,4104428,PR,100.0,41.36,100.0,19.3,96.3
2016,4105805,PR,100.0,51.04,100.0,54.17,930.61
2016,4114906,PR,100.0,23.96,100.0,28.79,69.66
2016,4125605,PR,100.0,52.7,100.0,28.69,230.8
2016,3302452,RJ,99.6,34.29,0.0,29.85,31.32
2016,3304524,RJ,94.2,26.6,100.0,24.21,119.88
2016,4306551,RS,100.0,1.82,50.0,12.0,14.5
2016,4308003,RS,100.0,88.27,0.0,37.66,37.02
2016,4213807,SC,99.4,22.58,0.0,52.22,38.5
2016,2800605,SE,99.1,73.51,100.0,58.0,97.73
2016,3514502,SP,100.0,99.85,100.0,25.92,44.57
2016,3522158,SP,100.0,45.21,100.0,23.23,43.19
2016,3526803,SP,100.0,87.35,96.7,20.41,313.14
2016,3527009,SP,100.0,78.28,0.0,6.82,57.0
2016,3530508,SP,100.0,93.52,100.0,28.09,190.04
2016,3540408,SP,100.0,100.0,100.0,14.37,23.63
2016,3541000,SP,91.7,65.91,100.0,29.85,976.2
2016,3543253,SP,100.0,51.09,100.0,23.06,80.74
2016,3547403,SP,99.6,98.82,100.0,57.98,13.0
2016,3548807,SP,100.0,85.0,100.0,12.21,453.55
2016,3551702,SP,99.2,80.0,100.0,34.59,520.0
2016,3553104,SP,99.6,73.59,100.0,22.04,20.0
2016,1200138,AC,96.8,8.14,0.0,48.04,43.14
2016,2923001,BA,91.1,6.96,100.0,14.28,165.29
2016,2301109,CE,76.6,24.54,100.0,34.39,163.17
2016,2301406,CE,100.0,26.39,100.0,14.76,12.76
2016,2311355,CE,100.0,50.94,100.0,28.38,15.0
